"","coef","pval"
"IL8",0.0513980586003872,0.835825425233529
"VEGFA",0.0359943911543635,0.756856345993137
"CD8A",-0.368343386762996,0.281713918625623
"MCP3",-0.161306406055398,0.167467021056375
"GDNF",0.0371291104756187,0.655022889354056
"CDCP1",0.48605114173185,1.32814850125069e-06
"CD244",-0.0775923395061038,0.329753296168414
"IL7",0.0266517615136525,0.836158051402226
"OPG",0.0276196622211884,0.735619751423823
"LAPTGFbeta1",-0.0615290956120106,0.550095650588002
"uPA",0.0180717146839082,0.840157168611418
"IL6",0.187932471614367,0.244165620041451
"IL17C",-0.0579295379339274,0.556703079032966
"MCP1",-0.0792465581528653,0.676310040000514
"IL17A",0.0042961679483168,0.973785074686982
"CXCL11",-0.319706452964611,0.181661829758033
"AXIN1",0.0965574659443606,0.567267587309097
"TRAIL",-0.0491173234090904,0.790055532087559
"IL20RA",-0.0549767331928647,0.535748794294601
"CXCL9",-0.372870496908597,0.0880465680765055
"CST5",-0.0925088464482236,0.466002875582212
"IL2RB",0.100285866251758,0.317761323348334
"IL1alpha",0.104963863183315,0.323926682657276
"OSM",0.101144977321501,0.530449200978571
"IL2",-0.0511843205970873,0.449798464868435
"CXCL1",-0.201748796408745,0.467789433201259
"TSLP",-0.101701845226202,0.230013661619598
"CCL4",0.262238875402105,0.214517351472655
"CD6",0.191302238276555,0.114327875220438
"SCF",-0.303930783867005,0.154093363505253
"IL18",0.2109903360471,0.19397881406962
"SLAMF1",0.0473767901891135,0.502797732708787
"TGFalpha",-0.0332723200331618,0.793696314010088
"MCP4",-0.438536325664356,0.10710804453132
"CCL11",0.0321183592444767,0.884711304508468
"TNFSF14",0.147713269797837,0.292409299810018
"FGF23",-0.04645552641835,0.703132885544066
"IL10RA",-0.149534441544358,0.262170185290985
"FGF5",0.0251551341263204,0.687996315177902
"MMP1",-0.420296716024475,0.104871029130471
"LIFR",-0.0187214641328983,0.809775638600489
"FGF21",-0.0856980794554349,0.733787839378604
"CCL19",0.0949133237771886,0.743691591375763
"IL15RA",0.107728140344451,0.142420199112236
"IL10RB",0.0336998201960289,0.68899064810254
"IL22RA1",-0.0405567201652561,0.702528180912325
"IL18R1",0.0434520241056885,0.645507105480239
"PDL1",-0.00010976988817723,0.999050201933758
"BetaNGF",0.0261610455928063,0.383280332813624
"CXCL5",-0.701016508692427,0.0387336118507998
"TRANCE",0.00209880303363938,0.984232302318436
"HGF",0.0212270415450391,0.804993795234347
"IL12B",-0.105777608012269,0.461469338651657
"IL24",-0.0401482490092581,0.762761440732527
"IL13",0.0323924167200112,0.856232705693687
"ARTN",-0.0131020441468514,0.89723810415155
"MMP10",-0.105521936491744,0.396229264683093
"IL10",-0.121630310480858,0.414264494680804
"TNF",-0.0134916218848907,0.933330260700908
"CCL23",-0.387176949449218,0.115221353005602
"CD5",0.170701043248873,0.0719889911859515
"CCL3",0.140805539151509,0.461540035933836
"Flt3L",0.0249676943871892,0.790301027063014
"CXCL6",-0.435723710879155,0.0538917031569213
"CXCL10",-0.596677371419827,0.0296268890661065
"4EBP1",0.0383926001169478,0.895063685717948
"IL20",-0.130742904962533,0.199110565139275
"SIRT2",0.179887346849968,0.407892978786031
"CCL28",0.168007954564476,0.0118566852237563
"DNER",-0.0387614637314626,0.633104826250563
"ENRAGE",0.0317879358122161,0.890111836115668
"CD40",0.00118558799128137,0.987936839683529
"IL33",-0.0637556018006529,0.342560426254994
"IFNgamma",0.00819923723443436,0.96862938504322
"FGF19",0.0342179962612908,0.883889539889174
"IL4",-0.192106820732708,0.105244551711941
"LIF",-0.110538362350051,0.22222561831747
"NRTN",-0.0622278886980093,0.495827897138513
"MCP2",-0.280256514783432,0.232809095451293
"CASP8",-0.0168340523427146,0.917738628511826
"CCL25",-0.0482969442181661,0.827729293761867
"CX3CL1",-0.159085465342427,0.369529956031032
"TNFRSF9",0.0102994488381416,0.917340097127822
"NT3",0.0789534301135162,0.590907911997451
"TWEAK",-0.097602865357444,0.536915861705686
"CCL20",0.0832425595615558,0.726536538521297
"ST1A1",0.0948085665725144,0.610872543814887
"STAMBP",-0.0394320068195963,0.846265682034222
"IL5",-0.00645552771254315,0.978854202912424
"ADA",-0.00869925166685,0.962482780120859
"TNFB",-0.163470217321476,0.193230009836077
"CSF1",0.0165972669949486,0.773747407500027
